"Profil du recensement, Recensement de la population de 2021"
,,,"Canada [Pays]",,,,,,,,,,,,
,,,"Chiffres",,,,,,"Taux",,,,,,
"Thème","Caractéristiques","Note","Total","Total_Flag","Hommes+","Hommes+_Flag","Femmes+","Femmes+_Flag","Total","Total_Flag","Hommes+","Hommes+_Flag","Femmes+","Femmes+_Flag",
"Population et logements","Population, 2021",1,36991981,"",,"...",,"...",,"...",,"...",,"...",
"Population et logements","Population, 2016",1,35151728,"",,"...",,"...",,"...",,"...",,"...",
"Population et logements","Variation en pourcentage de la population, 2016 à 2021",,    5.2,"",,"...",,"...",    5.2,"",,"...",,"...",
"Population et logements","Total des logements privés",2,16284235,"",,"...",,"...",,"...",,"...",,"...",
"Population et logements","Logements privés occupés par des résidents habituels",3,14978941,"",,"...",,"...",,"...",,"...",,"...",
"Population et logements","Densité de la population au kilomètre carré",,    4.2,"",,"...",,"...",    4.2,"",,"...",,"...",
"Population et logements","Superficie des terres en kilomètres carrés",,8788702.80,"",,"...",,"...",,"...",,"...",,"...",
"Caractéristiques selon l'âge","Total - Groupes d'âge de la population - Données intégrales (100 %)",,36991980,"",18226240,"",18765740,"",  100.0,"",  100.0,"",  100.0,"",
"Caractéristiques selon l'âge","  0 à 14 ans",,6012795,"",3086510,"",2926285,"",   16.3,"",   16.9,"",   15.6,"",
"Caractéristiques selon l'âge","    0 à 4 ans",,1831195,"",938790,"",892405,"",    5.0,"",    5.2,"",    4.8,"",
"Caractéristiques selon l'âge","    5 à 9 ans",,2054900,"",1054240,"",1000655,"",    5.6,"",    5.8,"",    5.3,"",
"Caractéristiques selon l'âge","    10 à 14 ans",,2126705,"",1093480,"",1033225,"",    5.7,"",    6.0,"",    5.5,"",
"Caractéristiques selon l'âge","  15 à 64 ans",,23957760,"",11915050,"",12042710,"",   64.8,"",   65.4,"",   64.2,"",
"Caractéristiques selon l'âge","    15 à 19 ans",,2012975,"",1036730,"",976240,"",    5.4,"",    5.7,"",    5.2,"",
"Caractéristiques selon l'âge","    20 à 24 ans",,2202255,"",1138825,"",1063430,"",    6.0,"",    6.2,"",    5.7,"",
"Caractéristiques selon l'âge","    25 à 29 ans",,2421510,"",1228135,"",1193370,"",    6.5,"",    6.7,"",    6.4,"",
"Caractéristiques selon l'âge","    30 à 34 ans",,2518835,"",1252795,"",1266040,"",    6.8,"",    6.9,"",    6.7,"",
"Caractéristiques selon l'âge","    35 à 39 ans",,2511345,"",1238515,"",1272835,"",    6.8,"",    6.8,"",    6.8,"",
