circonscription,region,geoloc,year
Argenteuil—Deux-Montagnes,NA,suburbs,1952
Beauce,NA,region,1952
Beauharnois—Salaberry,NA,region,1952
Bellechasse,NA,region,1952
Berthier—Maskinongé—delanaudière,NA,region,1952
Bonaventure,NA,region,1952
Brome—Missisquoi,NA,region,1952
Cartier,NA,montreal,1952
Chambly—Rouville,NA,suburbs,1952
Champlain,NA,region,1952
Chapleau,NA,region,1952
Charlevoix,NA,region,1952
Châteauguay—Huntingdon—Laprairie,NA,region,1952
Chicoutimi,NA,region,1952
Compton—Frontenac,NA,region,1952
Dollard,NA,montreal,1952
Dorchester,NA,region,1952
Drummond—Arthabaska,NA,region,1952
Gaspé,NA,region,1952
Gatineau,NA,region,1952
Hochelaga,NA,montreal,1952
Hull,NA,region,1952
Îles-de-la-Madeleine,NA,region,1952
Jacques Cartier—Lasalle,NA,montreal,1952
Joliette—L'Assomption—Montcalm,NA,region,1952
Kamouraska,NA,region,1952
Labelle,NA,region,1952
Lac-Saint-Jean,NA,region,1952
Lafontaine,NA,montreal,1952
Lapointe,NA,region,1952
Laurier,NA,montreal,1952
Laval,NA,suburbs,1952
Lévis,NA,region,1952
Longueuil,NA,suburbs,1952
Lotbinière,NA,region,1952
Maisonneuve—Rosemont,NA,montreal,1952
Matapédia—Matane,NA,region,1952
Mégantic,NA,region,1952
Mercier,NA,montreal,1952
Montmagny—L'Islet,NA,region,1952
Mount Royal,NA,montreal,1952
Nicolet—Yamaska,NA,region,1952
Notre-Dame-de-Grâce,NA,montreal,1952
Outremont—St-Jean,NA,montreal,1952
Papineau,NA,montreal,1952
Pontiac—Témiscamingue,NA,region,1952
Portneuf,NA,region,1952
Quebec East,NA,quebec,1952
Quebec South,NA,quebec,1952
Quebec West,NA,quebec,1952
Québec—Montmorency,NA,quebec,1952
Richelieu—Verchères,NA,region,1952
Richmond—Wolfe,NA,region,1952
Rimouski,NA,region,1952
Roberval,NA,region,1952
Saguenay,NA,region,1952
Saint-Antoine—Westmount,NA,montreal,1952
Saint-Denis,NA,montreal,1952
Saint-Henri,NA,montreal,1952
Saint-Hyacinthe—Bagot,NA,region,1952
Saint-Jacques,NA,montreal,1952
Saint-Jean—Iberville—Napierville,NA,region,1952
Saint-Maurice—Laflèche,NA,region,1952
Sainte-Marie,NA,region,1952
Shefford,NA,region,1952
Sherbrooke,NA,region,1952
St. Ann,NA,montreal,1952
St. Lawrence—St. George,NA,montreal,1952
Stanstead,NA,region,1952
Témiscouata,NA,region,1952
Terrebonne,NA,region,1952
Trois-Rivières,NA,region,1952
Vaudreuil—Soulanges,NA,region,1952
Verdun,NA,montreal,1952
Villeneuve,NA,region,1952
Abitibi,NA,region,1966
Ahuntsic,NA,montreal,1966
Argenteuil,NA,suburbs,1966
Beauce,NA,region,1966
Beauharnois,NA,region,1966
Bellechasse,NA,region,1966
Berthier,NA,region,1966
Bonaventure,NA,region,1966
Bourassa,NA,montreal,1966
Chambly,NA,suburbs,1966
Champlain,NA,region,1966
Charlevoix,NA,region,1966
Chicoutimi,NA,region,1966
Compton,NA,region,1966
Dollard,NA,montreal,1966
Drummond,NA,region,1966
Duvernay,NA,montreal,1966
Frontenac,NA,region,1966
Gamelin,NA,montreal,1966
Gaspé,NA,region,1966
Gatineau,NA,region,1966
Hochelaga,NA,montreal,1966
Hull,NA,region,1966
Joliette,NA,region,1966
Kamouraska,NA,region,1966
Labelle,NA,region,1966
Lac-Saint-Jean,NA,region,1966
Lachine,NA,montreal,1966
Lafontaine,NA,montreal,1966
Langelier,NA,quebec,1966
Lapointe,NA,region,1966
