,Riding,Link,geoloc
1,Argenteuil—Deux-Montagnes,https://en.wikipedia.org/wiki/Argenteuil%E2%80%94Deux-Montagnes,region
2,Beauce,https://en.wikipedia.org/wiki/Beauce_(electoral_district),region
3,Beauharnois—Salaberry,https://en.wikipedia.org/wiki/Beauharnois%E2%80%94Salaberry,region
4,Bellechasse,https://en.wikipedia.org/wiki/Bellechasse_(federal_electoral_district),region
5,Berthier—Maskinongé—delanaudière,https://en.wikipedia.org/wiki/Berthier%E2%80%94Maskinong%C3%A9%E2%80%94delanaudi%C3%A8re,region
6,Bonaventure,https://en.wikipedia.org/wiki/Bonaventure_(federal_electoral_district),region
7,Brome—Missisquoi,https://en.wikipedia.org/wiki/Brome%E2%80%94Missisquoi,region
8,Cartier,https://en.wikipedia.org/wiki/Cartier_(electoral_district),montreal
9,Chambly—Rouville,https://en.wikipedia.org/wiki/Chambly%E2%80%94Rouville,suburbs
10,Champlain,https://en.wikipedia.org/wiki/Champlain_(federal_electoral_district),region
11,Chapleau,https://en.wikipedia.org/wiki/Chapleau_(federal_electoral_district),region
12,Charlevoix,https://en.wikipedia.org/wiki/Charlevoix_(electoral_district),region
13,Châteauguay—Huntingdon—Laprairie,https://en.wikipedia.org/wiki/Ch%C3%A2teauguay%E2%80%94Huntingdon%E2%80%94Laprairie,suburbs
14,Chicoutimi,https://en.wikipedia.org/wiki/Chicoutimi%E2%80%94Le_Fjord,region
15,Compton—Frontenac,https://en.wikipedia.org/wiki/Compton%E2%80%94Frontenac,region
16,Dollard,https://en.wikipedia.org/wiki/Dollard_(electoral_district),montreal
17,Dorchester,https://en.wikipedia.org/wiki/Dorchester_(electoral_district),quebec
18,Drummond—Arthabaska,https://en.wikipedia.org/wiki/Drummond%E2%80%94Arthabaska,region
19,Gaspé,https://en.wikipedia.org/wiki/Gasp%C3%A9_(electoral_district),region
20,Gatineau,https://en.wikipedia.org/wiki/Gatineau_(federal_electoral_district),region
21,Hochelaga,https://en.wikipedia.org/wiki/Hochelaga_(electoral_district),montreal
22,Hull,https://en.wikipedia.org/wiki/Hull_(electoral_district),region
23,Îles-de-la-Madeleine,https://en.wikipedia.org/wiki/%C3%8Eles-de-la-Madeleine_(former_federal_electoral_district),region
24,Jacques Cartier—Lasalle,https://en.wikipedia.org/wiki/Jacques_Cartier%E2%80%94Lasalle,montreal
25,Joliette—L'Assomption—Montcalm,https://en.wikipedia.org/wiki/Joliette%E2%80%94L%27Assomption%E2%80%94Montcalm,region
26,Kamouraska,https://en.wikipedia.org/wiki/Kamouraska_(electoral_district),region
27,Labelle,https://en.wikipedia.org/wiki/Labelle_(electoral_district),region
28,Lac-Saint-Jean,https://en.wikipedia.org/wiki/Lac-Saint-Jean,region
29,Lafontaine,https://en.wikipedia.org/wiki/Lafontaine_(electoral_district),montreal
30,Lapointe,https://en.wikipedia.org/wiki/Lapointe_(electoral_district),region
31,Laurier,https://en.wikipedia.org/wiki/Laurier_(federal_electoral_district),montreal
32,Laval,https://en.wikipedia.org/wiki/Laval_(electoral_district),suburbs
33,Lévis,https://en.wikipedia.org/wiki/L%C3%A9vis_(federal_electoral_district),quebec
34,Longueuil,https://en.wikipedia.org/wiki/Longueuil_(electoral_district),suburbs
35,Lotbinière,https://en.wikipedia.org/wiki/Lotbini%C3%A8re_(electoral_district),region
36,Maisonneuve—Rosemont,https://en.wikipedia.org/wiki/Maisonneuve%E2%80%94Rosemont,montreal
37,Matapédia—Matane,https://en.wikipedia.org/wiki/Matap%C3%A9dia%E2%80%94Matane,region
38,Mégantic,https://en.wikipedia.org/wiki/M%C3%A9gantic_(federal_electoral_district),region
39,Mercier,https://en.wikipedia.org/wiki/Mercier_(federal_electoral_district),montreal
40,Montmagny—L'Islet,https://en.wikipedia.org/wiki/Montmagny%E2%80%94L%27Islet,region
41,Mount Royal,https://en.wikipedia.org/wiki/Mount_Royal_(electoral_district),montreal
42,Nicolet—Yamaska,https://en.wikipedia.org/wiki/Nicolet%E2%80%94Yamaska,region
43,Notre-Dame-de-Grâce,https://en.wikipedia.org/wiki/Notre-Dame-de-Gr%C3%A2ce_(federal_electoral_district),montreal
44,Outremont—St-Jean,https://en.wikipedia.org/wiki/Outremont%E2%80%94St-Jean,montreal
45,Papineau,https://en.wikipedia.org/wiki/Papineau_(electoral_district),montreal
46,Pontiac—Témiscamingue,https://en.wikipedia.org/wiki/Pontiac%E2%80%94T%C3%A9miscamingue,region
47,Portneuf,https://en.wikipedia.org/wiki/Portneuf_(electoral_district),region
48,Quebec East,https://en.wikipedia.org/wiki/Quebec_East,quebec
49,Quebec South,https://en.wikipedia.org/wiki/Quebec_South,quebec
50,Quebec West,https://en.wikipedia.org/wiki/Quebec_West,quebec
51,Québec—Montmorency,https://en.wikipedia.org/wiki/Qu%C3%A9bec%E2%80%94Montmorency,montreal
52,Richelieu—Verchères,https://en.wikipedia.org/wiki/Richelieu%E2%80%94Verch%C3%A8res,suburbs
53,Richmond—Wolfe,https://en.wikipedia.org/wiki/Richmond%E2%80%94Wolfe,region
54,Rimouski,https://en.wikipedia.org/wiki/Rimouski_(electoral_district),region
55,Roberval,https://en.wikipedia.org/wiki/Roberval_(electoral_district),region
56,Saguenay,https://en.wikipedia.org/wiki/Saguenay_(federal_electoral_district),region
57,Saint-Antoine—Westmount,https://en.wikipedia.org/wiki/Saint-Antoine%E2%80%94Westmount,montreal
58,Saint-Denis,https://en.wikipedia.org/wiki/Saint-Denis_(electoral_district),montreal
59,Saint-Henri,https://en.wikipedia.org/wiki/St._Henri_(electoral_district),montreal
60,Saint-Hyacinthe—Bagot,https://en.wikipedia.org/wiki/Saint-Hyacinthe%E2%80%94Bagot,suburbs
61,Saint-Jacques,https://en.wikipedia.org/wiki/Saint-Jacques_(federal_electoral_district),montreal
62,Saint-Jean—Iberville—Napierville,https://en.wikipedia.org/wiki/Saint-Jean%E2%80%94Iberville%E2%80%94Napierville,montreal
