"","year","country","weight","langEn","langFr","langOth","langSurveyFr","langSurveyEn","yrBirth","age","age34m","age35p54","age55p","female","relProtest","relCatho","relJewish","relAllOther","relAllChrist","relNone","married","educBHS","educHS","educUniv","ethnAboriginal","ethnWest","ethnEastEur","ethnSubAfrica","ethnMidEastSthAsia","ethnEastAsia","ethnVisible","yearArrivedCdn","immigrantYrInCdn","immigrant","immigrantTen","immigrantLibIncumb","immigrantConsIncumb","urban","rural","incomeLow","incomeMid","incomeHigh","childrenHH","employed","unionHH","publicSect","nfld","pei","ns","nb","quebec","ontario","manitoba","sask","alberta","bc","west","maritimes","roc","religiosity","rightist","rightist_full","libIdpre88","pConsIdpre88","ndpIdpre88","noIdpre88","libIdpreScale88","pConsIdpreScale88","ndpIdpreScale88","strengthIdpre88","ppFeelLib88","ppFeelPCons88","ppFeelNdp88","leadFeelLibpre88","leadFeelPConspre88","leadFeelNdppre88","votedNot88","votedLib88","votedPCons88","votedNdp88","voted_LCN88","voteIntentNot88","voteIntentLib88","voteIntentCons88","voteIntentNdp88","voteIntent88","issAllEcnMI","issEnvMI","issFrgnMI","issImmgAborMI","issAllSocPrMI","issAllMoralMI","issDeath88","issWomMI","issQcMI","issHlthMI","issRghtsMI","issCorrupMI","issFarmerFeel88","issPoorFeel88","issElderlyFeel88","issWomFemFeel88","issLabourFeel88","issEngCanFeel88","issImmgRaceFeel88","issAborigFeel88","issAmericansFeel88","issImmgAdmit88","issEnvVsJobs88","issQcFeel88","issQcSovBin88","issQcSovBin88_WithRoc","issQcSovFour88","govtRightThing","corrupGovt","polInter1Fed88","polInfo2Fed88","x_polInterest88"
"1",1988,"CAN",0.242237612605095,0,1,0,1,0,1956,32,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,0,0,0,0,0.33,0,0,0.33,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.5,0,0.25
"2",1988,"CAN",0.56757652759552,0,1,0,1,0,1943,45,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,1,0,0,0,0,NA,NA,NA,0.6,0.5,0.7,0,0,0,1,3,0,0,0,1,"NDP",1,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,NA,NA,0.75,1,0.875
"3",1988,"CAN",1.55880343914032,1,0,0,0,1,1956,32,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1959,29,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.5,0.5,0.5
"4",1988,"CAN",0.731678128242493,NA,NA,NA,0,1,1964,24,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,0.7,0.8,0.8,0.4,0.6,0.4,NA,NA,NA,0.7,NA,0,NA,NA,NA,0.5,0,0.25
"5",1988,"CAN",0.520347058773041,1,0,0,0,1,1934,54,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,0,1,0,0,0,0.66,0,0.66,NA,NA,NA,0.3,0.65,0.4,0,0,1,0,2,0,0,1,0,"Conservatives",0,1,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,0.75,0.875
"6",1988,"CAN",1.36639225482941,0,0,1,0,1,1957,31,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,1,0,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,3,0,0,0,1,"NDP",1,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,0.5,0.25
"7",1988,"CAN",0.969479858875275,1,0,0,0,1,1960,28,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1978,10,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,NA,NA,1,0,0,0,1,0,0,1,0.9,0,0.6,0.7,0.3,0.6,0,1,0,0,1,0,1,0,0,"Liberals",0,0,0,0,1,0,NA,0,0,0,0,0,1,0.8,0.6,0.4,0.3,0.6,0.6,0.4,NA,1,1,0.4,NA,0,NA,1,1,1,0.75,0.875
"8",1988,"CAN",0.56757652759552,0,1,0,1,0,1964,24,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33,NA,NA,0,0,0,0,0,0.33,0,0.33,0.35,0.4,0.3,NA,NA,NA,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,NA,0,0,0,0,0,0.5,0.6,0.7,0.5,0.5,0.7,0.3,0.5,NA,0,NA,0.7,NA,NA,0.5,NA,NA,0.5,0,0.25
"9",1988,"CAN",0.780520558357239,1,0,0,0,1,1954,34,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,0.66,NA,NA,1,0,0,0,1,0,0,1,0.5,0.8,0.2,0.6,0.8,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0.8,1,0.6,0.5,0.7,0.7,0.5,0.6,NA,1,1,0.5,NA,0,NA,0.5,NA,0,0,0
"10",1988,"CAN",1.55880343914032,1,0,0,0,1,1948,40,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.25,0,0,1,0,0,0,0.66,0.66,0.15,0.15,0.65,NA,NA,0.75,0,0,0,1,3,0,0,0,1,"NDP",0,0,0,0,0,0,0,0,0,0,0,0,0.9,NA,0.9,0.9,0.6,0.5,0.9,0.9,0.2,1,1,0.5,NA,0,NA,1,1,1,1,1
"11",1988,"CAN",0.520347058773041,1,0,0,0,1,1918,70,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,1,0,0,0,1,0,0,1,0.8,0.5,0.6,0.9,NA,NA,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,NA,0,0,0,0,0,1,1,1,NA,0.8,0.8,NA,1,NA,1,NA,1,NA,0,NA,NA,NA,0.75,0.5,0.625
"12",1988,"CAN",0.455464065074921,0,0,1,0,1,1918,70,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0.66,0,0,0.66,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,0.75
"13",1988,"CAN",0.287671387195587,1,0,0,0,1,1957,31,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.66,NA,NA,0,1,0,0,0,0.66,0,0.66,NA,NA,NA,NA,0.4,0.5,1,NA,NA,NA,-9,1,NA,NA,NA,"Not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.5,0.5,0.5
"14",1988,"CAN",0.77940171957016,1,0,0,0,1,1958,30,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1969,19,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,0,0,1,0,0,0,0.66,0.66,0.6,0.6,0.7,NA,NA,NA,1,NA,NA,NA,-9,1,NA,NA,NA,"Not",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.8,0.8,0.85,0.65,0.1,0.8,0.95,0.85,NA,1,1,0.6,NA,0,NA,NA,NA,0.5,0,0.25
"15",1988,"CAN",0.360253095626831,1,0,0,0,1,1963,25,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.33,NA,NA,0,0,0,1,0,0,0,0,0.49,0.49,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,0.99,0.49,0.49,0.75,0.75,0.75,NA,1,NA,0.75,NA,0,NA,NA,NA,0,0.5,0.25
"16",1988,"CAN",0.56757652759552,0,1,0,1,0,1949,39,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1957,31,1,0,NA,NA,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0.4,0.6,0.4,NA,NA,NA,1,NA,NA,NA,-9,1,NA,NA,NA,"Not",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.7,0.5,0.7,0.7,0.6,0.5,0.7,0.7,NA,0.5,0,0.8,1,1,0.66,0.5,NA,0,0.5,0.25
"17",1988,"CAN",0.520347058773041,1,0,0,0,1,1939,49,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,1,0,0,0,1,0,0,1,0.9,0.4,0.2,NA,NA,NA,0,1,0,0,1,0,1,0,0,"Liberals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,1,0.7,0.8,1,NA,0,NA,1,NA,0,NA,NA,NA,1,0.5,0.75
"18",1988,"CAN",1.55880343914032,1,0,0,0,1,1944,44,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,NA,NA,NA,1,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0.1,0.1,0.01,0.02,0.26,0.01,1,NA,NA,NA,-9,1,NA,NA,NA,"Not",1,0,0,0,0,0,NA,0,0,0,0,0,0.5,0.5,0.9,0.5,0.1,0.75,0.5,0.5,NA,1,NA,0.5,NA,0,NA,NA,NA,1,1,1
"19",1988,"CAN",0.484739929437637,1,0,0,0,1,1943,45,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0.75,0,0,0,1,0,0,0,0,0.7,0.5,0.5,0.6,0.4,0.35,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.7,0.8,0.55,0.45,0.75,0.75,0.8,NA,1,1,0.75,NA,0,NA,1,1,0.75,0.75,0.75
"20",1988,"CAN",0.969479858875275,1,0,0,0,1,1957,31,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0.33,NA,NA,0,0,0,1,0,0,0,0,0.4,0.75,0.1,0,0,0,0,0,1,0,2,0,0,1,0,"Conservatives",1,0,0,0,0,0,1,0,0,0,0,0,0.55,0.45,0.8,0.4,0,1,0.6,1,NA,0,0,0.4,NA,0,NA,1,1,0,0,0
"21",1988,"CAN",0.242237612605095,0,1,0,1,0,1944,44,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.5,0.5,1,0,0,0,0.66,0,0,0.66,0.4,0.5,0.12,1,0.5,NA,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,NA,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0,0,1,NA,0,NA,1,NA,0.5,0,0.25
"22",1988,"CAN",0.56757652759552,0,1,0,1,0,1951,37,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33,NA,NA,0,0,0,0,0,0.33,0,0.33,NA,0.7,0.5,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,NA,0,0,0,0,0,0.6,0.75,0.8,0.75,0.65,0.4,0.6,NA,NA,0,NA,0.8,1,1,0.66,NA,NA,0.5,0.5,0.5
"23",1988,"CAN",3.11760687828064,1,0,0,0,1,1933,55,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,0,1,0,0,0,0.66,0,0.66,0.4,0.5,0.2,0.4,0.4,0.75,0,0,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0.6,0.6,0.7,0.4,0.5,0.7,0.6,0.7,NA,1,1,0.4,NA,0,NA,0.5,1,0.75,0.5,0.625
"24",1988,"CAN",0.77940171957016,1,0,0,0,1,1941,47,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,0,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0.66,NA,NA,0,0,0,0,0.33,0,0,0.33,0.5,0.5,0.5,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0.75,NA,0.75,0.75,0.05,0.75,0.75,0.75,NA,0,1,0.75,NA,0,NA,0.5,NA,0.5,0.5,0.5
"25",1988,"CAN",0.111730426549911,1,0,0,0,1,1946,42,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,0,0,0,1,0,0,0,0,0.65,0.7,0.75,NA,0.65,0.75,0,0,1,0,2,0,0,1,0,"Conservatives",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.8,0.8,0.9,0.7,0.55,0.8,0.8,0.75,NA,0.5,1,0.8,NA,0,NA,0.5,0.5,1,0.5,0.75
